Experiment,Language,Subject,KL,Age,method,cite
Almoammer2013,Saudi,1,2,40,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,2,2,42,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,3,0,36,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,4,0,39,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,5,1,40,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,6,2,41,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,7,1,40,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,8,4,40,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,10,3,40,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,11,3,39,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,12,2,42,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,13,1,41,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,14,1,41,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,15,5,40,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,16,1,36,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,17,1,39,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,18,3,42,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,19,0,37,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,20,2,39,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,21,2,38,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,22,2,43,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,23,3,42,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,24,2,47,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,25,2,43,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,26,2,46,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,27,1,43,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,28,5,42,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,29,2,45,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,30,5,47,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,31,5,44,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,32,4,44,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,33,2,44,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,34,2,44,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,35,2,43,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,36,2,46,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,37,3,47,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,38,4,47,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,39,2,42,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,40,2,42,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,41,2,46,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,42,5,44,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,43,4,49,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,44,5,53,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,45,5,53,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,46,3,52,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,47,2,52,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,48,2,51,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,49,5,50,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,50,5,54,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,51,5,53,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,52,5,52,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,53,5,54,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,54,5,53,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,55,5,53,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,56,2,51,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,57,5,53,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,58,2,51,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,59,1,50,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,60,3,52,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,61,1,51,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,62,3,52,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,63,5,50,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,64,3,51,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,65,5,53,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-1,2,36,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-10,2,41,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-11,1,42,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-12,2,37,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-13,1,38,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-14,4,50,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-15,0,38,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-16,2,42,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-17,5,42,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-18,2,50,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-19,2,52,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-2,2,42,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-20,2,46,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-21,2,40,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-3,2,36,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-6,2,42,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-7,1,45,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-8,2,45,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Saudi,Exc-9,0,37,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,060412-A-V,1,25.8,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,060412-N-V,2,30.1,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,070612-C-V,2,35,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,070612-E-V,2,35,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,140212-V-V,1,32.7,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,140612-V-V,0,30,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,140612-Z-V,2,35,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,160112-J-V,0,29.2,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,160112-S-V,0,30.2,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,160112-Z-V,1,33.4,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,170112-B-V,2,28,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,170112-N-V,2,29.9,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,170112-N1-V,4,35.8,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,220312-B-V,2,29.7,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,220312-M-V,0,33.2,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,220312-T-V,1,32.3,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,220512-I-V,2,29,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,220512-K-V,2,32,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,220512-M-V,2,32,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,220512-P-V,1,31,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,220512-T-V,1,28,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,220512-V-V,0,26,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,260612-J-V,1,29,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,260612-N-V,0,26,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,280212-G-V,1,29.3,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,280612-J-V,2,27,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,060412-B-V,1,36.2,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,070612-J-V,3,36,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,080712-J-V,2,41,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,090112-N-V,2,38,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,090112-U-V,2,36.1,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,090112-Z-V,2,37.5,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,110612-V-V,2,47,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,120612-Z-V,4,39,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,140212-M1-V,5,40,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,140612-M-V,2,36,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,170112-K1-V,2,39.1,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,170112-M2-V,2,40.7,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,180112-Ii-V,2,48.3,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,180112-J-V,5,45.1,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,180112-L-V,4,45.4,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,180112-T-V,2,40.9,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,200112-A-V,0,40.2,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,200112-E-V,5,41.6,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,200112-L-V,2,41.3,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,200112-L1-V,2,44.9,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,200112-M-V,2,43.6,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,200112-N-V,2,37.3,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,200112-V-V,3,36.7,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,260612-AV,5,44,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,260612-T-V,5,44,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,280612-S-V,2,36,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,080712-IA-V,5,49,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,110612-D-V,2,53,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,110612-L-V,2,48,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,110612-M-V,3,48,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,110612-MP-V,3,54,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,110612-N-V,5,48,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,110612-P-V,5,52,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,120612-?-V,2,48,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,160112-K-V,2,50.6,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,160112-M-V,2,50.5,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,160112-M1-V,5,50.2,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,160112-S1-V,5,48.7,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,160112-T-V,2,51.8,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,170112-B1-V,5,57.7,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,170112-L-V,2,51.8,non-titrated,AlmoammerEtAl_2013
Almoammer2013,Slovenian,200112-P-V,5,48.1,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100212-A1,0,33.71710526,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100212-AA,0,24.96710526,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100212-BL,0,26.90789474,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100912-DH,0,28.25657895,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100912-LB,0,25.13157895,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100912-TL,0,33.94736842,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101012-PL,0,32.00657895,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101112-AD,0,28.25657895,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101612-NR,0,27.76315789,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101812-S1,0,31.875,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101812-S2,0,31.875,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101912-GW,0,28.45394737,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101912-NW,0,28.45394737,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101912-SW,0,28.45394737,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,102612-JD,0,28.71710526,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110612-DR,0,26.18421053,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110712-CM,1,32.56578947,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110712-JB,0,28.98026316,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110712-ML,1,32.73026316,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,111412-KP,0,32.03947368,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112612-CJ,2,33.55263158,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112612-DF,0,28.19078947,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112612-SB,1,31.44736842,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112712-IM,0,28.09210526,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100210-C1,2,37.63157895,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100212-AR,5,46.18421053,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-LM,5,47.82894737,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-PH,3,45.85526316,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-RW,2,45.55921053,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100512-JC,2,47.00657895,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100912-AB,5,38.15789474,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101012-AW,5,44.50657895,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101012-GS,2,44.40789474,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101012-LO,0,46.34868421,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101012-SK,0,37.79605263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101112-AA,2,42.79605263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101112-AC,5,44.67105263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101112-CW,5,47.89473684,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101212-HS,2,38.58552632,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101812-BB,1,39.17763158,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,102512-JG,5,43.15789474,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,102512-MH,4,42.92763158,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110612-BP,5,40.65789474,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110712-CN,4,39.01315789,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110712-MS,3,36.90789474,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110812-PF,5,40.36184211,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110812-SM,5,42.10526316,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110912-AC,5,46.84210526,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110912-OV,5,47.17105263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,111512-JS,3,46.25,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112612-KJ,4,45.29605263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112612-YM,5,47.63157895,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112712-DA,5,41.74342105,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,120312-GB,0,32.13815789,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100212-LM,0,49.53947368,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-CA,5,56.67763158,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-EL,5,54.63815789,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-GS,5,50.69078947,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-HG,5,53.84868421,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-MK,5,59.40789474,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-OF,2,49.67105263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-QH,5,50.29605263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100812-WA,5,51.11842105,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101012-AC,5,59.04605263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101012-AD,5,55.85526316,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101012-NS,5,52.10526316,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101112-B,5,49.80263158,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101112-GA,5,56.875,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101112-KW,5,54.63815789,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101112-XD,5,54.80263158,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101212-RB,5,57.10526316,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101612-SD,5,54.90131579,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101612-TK,2,51.21710526,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,102612-LD,5,50.16447368,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,102612-MN,5,48.91447368,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110512-JF,5,50.59210526,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112612-JG,5,49.14473684,non-titrated,AlmoammerEtAl_2013