"","Subject","Age","Sex","Language","KL","Experiment","lab","cite","method"
"1","081018-AS",54,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"2","081018-LV",45,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"3","081018-IL",38,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"4","081018-RG",50,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"5","081018-ME",37,"F","Français","0","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"6","081018-MA",53,"F","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"7","081018-KP",38,"M","Français","0","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"8","080818-NP",44,"M","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"9","080818-KB",55,"M","Français","CP","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"10","080818-SI",41,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"11","080918-JT",34,"M","Français","0","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"12","080818-AH",41,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"13","080918-ET",36,"M","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"14","080918-HP",32,"M","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"15","080918-SN",28,"F","Français","0","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"16","081018-LN",42,"F","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"17","080618-LG",27,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"18","080618-MV",34,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"19","080618-IM",34,"F","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"20","080618-SC",37,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"21","080718-JC",33,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"22","080718-AH",37,"F","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"23","081318-AT",61,"M","Français","CP","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"24","081318-JLD",52,"M","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"25","081318-NB",54,"F","Français","CP","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"26","081318-JL",50,"F","Français","CP","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"27","081318-GP",49,"F","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"28","081318-VS",55,"M","Français","CP","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"29","081318-GM",51,"F","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"30","081418-XR",55,"M","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"31","081418-RC",57,"M","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"32","081418-KR",44,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"33","081418-KS",57,"F","Anglais","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"34","081418-GD",40,"M","Anglais","4","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"35","081418-LS",54,"F","Français","4","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"36","081418-AD",50,"F","Anglais","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"37","081418-NA",NA,"M","Français","0","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"38","081518-CP",48,"F","Français","CP","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"39","081518-EB",54,"M","Français","CP","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"40","081518-LM",54,"F","Français","CP","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"41","081518-BF",52,"F","Français","CP","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"42","081518-LV",30,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"43","081618-LD",47,"M","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"44","081518-GP",29,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"45","082118-SI",47,"M","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"46","082118-LD",51,"M","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"47","082118-LA1",51,"M","Français","4","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"48","082118-LA2",51,"F","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"49","082118-MG",46,"F","Français","4","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"50","082118-VM",36,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"51","082218-ASM",46,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"52","082218-EG",43,"M","Français","4","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"53","082218-DL",57,"M","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"54","082218-LL",36,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"55","082218-ZH",38,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"56","082218-CM",38,"F","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"57","082218-RN",39,"M","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"58","082218-FP",39,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"59","082218-JP",38,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"60","082218-AL",31,"F","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"61","082218-LG",40,"F","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"62","082218-KP",38,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"63","082218-JG",36,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"64","082218-AB",43,"M","Français","CP","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"65","082318-AF",33,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"66","082318-TV",47,"M","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"67","082318-EC",47,"M","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"68","082118-RC2",33,"F","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"69","083018-ES",36,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"70","083018-CF",31,"F","Français","0","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"71","082118-RC1",44,"F","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"72","082118-FL",43,"F","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"73","082118-IK",46,"F","Français","4","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"74","082318-LC",63,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"75","082218-CG",42,"M","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"76","082318-CM",31,"M","Français","CP","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"77","082818-XM",43,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"78","082918-MP",49,"F","Français","4","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"79","082818-AL",36,"F","Français","0","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"80","082918-AP",38,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"81","082818-CJ",34,"F","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"82","082918-ML",34,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"83","082818-AM",40,"M","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"84","082818-RO",41,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"85","082818-MA",44,"M","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"86","082818-CA",43,"F","Français","CP","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"87","082918-MA",34,"F","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"88","082918-SD",40,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"89","082818-JB",46,"F","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"90","082818-EG",30,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"91","082818-EL",47,"F","Français","4","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"92","082818-AG",29,"M","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"93","082918-LP",43,"M","Français","4","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"94","082918-GP",43,"M","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
