Subject,Location Code,Education,Age,Gender,method,cite,OrderedGiveN1,OrderedGiveN2,OrderedGiveN3,OrderedGiveN4,OrderedGiveN5,OrderedGiveN6,OrderedGiveN7,OrderedGiveN8,GiveNRandom1,GiveNRandom2,GiveNRandom3,GiveNRandom4,GiveNRandom5,GiveNRandom6,GiveNRandom7,GiveNRandom8,GiveNRandomB1,GiveNRandomB2,GiveNRandomB3,GiveNRandomB4,GiveNRandomB5,GiveNRandomB6,GiveNRandomB7,GiveNRandomB8
1,1,3,9,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,4_4,5_5,2_2,8_7,1_1,6_6,3_3,7_7,4_4,5_5,3_3,6_6,2_2,8_8,7_7,1_1
2,1,0.5,6,M,non-titrated,Boni et al. (unpublished data),1_1_,2_2,3_3,4_4,5_6,6_4,7_5,8_4,5_3,4_5,6_7,2_3,8_4,1_1,7_4,3_6,3_6,4_8,8_6,7_8,5_5,1_1,6_6,2_2
3,1,0,5,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_5,4_7,5_7,6_7,7_10,8_10,1_1,7_NA,2_4,4_5,6_4,8_7,3_4,5_5,2_4,7_7,4_4,1_1,6_3,3_5,5_2,8_3
4,1,3,6,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,6_6,1_1,7_7,3_3,5_4,8_6,4_4,2_2,6_7,1_1,7_5,3_3,5_5,8_8,4_4,2_2
5,1,0,5,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_2,4_3,5_2,6_10,7_2,8_4,3_2,5_2,2_2,6_3,7_3,1_1,8_7,4_3,6_3,5_10,4_5,1_1,3_4,8_7,7_4,2_3
8,1,0,4,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_10,4_5,5_6,6_10,7_6,8_6,6_7,1_1,5_5,8_8,3_4,2_2,4_4,7_9,2_2,4_6,7_9,5_8,3_4,6_7,1_1,8_10
9,1,0,4,F,non-titrated,Boni et al. (unpublished data),1_2,2_1,3_4,4_2,5_2,6_3,7_10,8_2,4_2,1_1,8_2,3_1,2_2,6_2,7_2,5_3,5_7,6_10,4_7,3_4,2_3,8_8,1_6,7_10
10,2,1,6,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_6,6_7,7_8,8_10,3_3,1_1,8_10,5_5,6_9,2_2,4_4,7_9,2_2,5_5,1_1,4_4,8_8,7_6,3_3,6_9
11,2,0.5,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,1_1,5_4,6_5,7_6,4_4,3_3,2_2,8_5,3_3,1_1,7_4,5_4,6_5,4_4,2_2,8_5
12,2,0.5,8,F,non-titrated,Boni et al. (unpublished data),1_2,2_3,3_6,4_6,5_5,6_7,7_6,8_7,5_6,8_6,2_2,6_6,4_6,1_1,7_7,3_4,2_2,8_6,5_6,3_3,1_1,7_7,4_5,6_7
13,3,0.5,6,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_3,5_5,6_4,7_5,8_8,2_3,8_5,5_4,4_6,1_1,6_5,3_4,7_5,8_6,6_5,3_4,4_5,1_1,5_6,7_6,2_2
14,3,0.5,7,M,non-titrated,Boni et al. (unpublished data),1_1_,2_2,3_1,4_5,5_5,6_6,7_7,8_8,6_6,2_2,4_4,1_1,5_5,7_7,8_8,3_3,1_1,3_3,8_8,7_7,2_2,6_6,5_5,4_4
15,3,0.5,7,F,non-titrated,Boni et al. (unpublished data),1_1,2_3,3_4,4_4,5_6,6_7,7_5,8_8,4_5,7_8,8_5,6_8,2_3,3_6,5_3,1_1,6_6,5_2,2_5,8_8,4_5,3_6,1_1,7_4
17,3,0.5,7,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_4,4_4,5_6,6_5,7_7,8_7,4_5,7_9,5_5,8_8,2_4,3_4,6_7,1_1,5_4,6_7,8_8,4_4,7_7,1_1,2_2,3_3
18,3,0.5,7,F,non-titrated,Boni et al. (unpublished data),1_3,2_5,3_6,4_6,5_5,6_5,7_4,8_5,7_6,4_6,2_5,1_4,8_4,3_5,5_7,6_5,7_5,1_6,8_5,4_5,3_6,5_5,6_5,2_6
19,3,0.5,6,F,non-titrated,Boni et al. (unpublished data),1_1_,2_2,3_3,4_3,5_4,6_4,7_6,8_5,4_4_,3_4,6_5,5_5,7_4,1_1,2_2,8_4,4_4,6_4,2_2,8_4,3_4,5_4,7_4,1_1
20,3,0.5,4,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_4,6_6,7_6,8_5,3_4,7_6,1_1,6_6,4_5,2_2,8_6,5_5,7_5,3_5,5_5,2_2,1_1,4_5,6_6,8_6
21,3,2,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,7_7,2_2,5_5,6_6,8_8,4_4,3_3,1_1,7_7,6_6,3_3,8_8,4_4,5_5,1_1,2_2
22,3,2,8,F,non-titrated,Boni et al. (unpublished data),1_1,2_1,3_3,4_5,5_4,6_5,7_5,8_5,4_4,1_1,2_3,6_4,8_5,3_4,7_3,5_3,7_4,5_4,4_4,6_3,3_5,1_1,8_4,2_4
25,4,0,6,F,non-titrated,Boni et al. (unpublished data),1_1,2_NA,3_2,4_2,5_2,6_2,7_2,8_2,1_1,8_2,3_2,4_2,2_2,6_2,7_2,5_2,1_1,2_2,5_2,7_2,6_2,3_2,8_2,4_2
27,4,0.5,5,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_2,4_2,5_2,6_2,7_2,8_2,2_2,7_2,3_2,6_2,8_2,5_5,1_2,4_2,6_2,1_2,8_2,7_2,4_2,3_2,5_2,2_2
28,4,2,6,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_2,4_2,5_2,6_2,7_2,8_2,3_2,1_1,2_2,5_2,8_2,4_2,6_2,7_2,8_2,4_2,1_1,6_2,2_2,7_2,5_1,3_2
29,4,0.5,6,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_1,4_2,5_2,6_2,7_2,8_2,7_2,8_2,3_2,6_2_,2_2,1_2,4_2,5_2,5_2,4_2,2_2,6_2,7_2,3_2,1_1,8_2
30,4,4,6,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_6,8_7,4_4,3_3,2_2,6_6,7_6,5_5,8_7,1_1,8_7,6_6,3_3,7_7,2_2,4_4,1_1,5_6
31,4,1,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_3,5_3,6_2,7_2,8_2,6_2,5_2,3_2,7_2,1_1,4_2,2_2,8_2,7_2,3_2,1_1,6_2,4_2,5_2,8_2,2_2
32,4,3,8,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,8_8,5_5,4_4,6_6,2_2,7_7,3_3,1_1,7_7,4_4,1_1,2_2,5_5,8_8,3_3,6_6
33,4,1,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_6,6_6,7_7,8_8,6_8,1_1,8_10,3_3,2_2,5_8,4_5,7_6,8_8,1_1,4_4,6_7,5_9,3_3,7_8,2_2
34,4,0.5,7,F,non-titrated,Boni et al. (unpublished data),1_2,2_4,3_5,4_4,5_6,6_4,7_5,8_3,8_4,7_4,3_3,6_6,2_6,1_4,5_3,4_5,1_4,3_5,4_4,2_4,6_6,7_4,5_7,8_5
35,4,0.5,7,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_4,6_4,7_4,8_4,7_3,8_3,2_2,6_4,5_4,1_1,3_3,4_4,6_5,2_2,5_4,4_4,1_1,3_3,8_5,7_5
36,4,0.5,8,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_9,8_7,5_5,1_1,8_6,3_3,2_2,4_4,6_6,7_7,3_3,5_5,1_1,6_6,4_4,7_8,2_2,8_7
37,4,0.5,8,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_2,4_2,5_2,6_2,7_2,8_2,8_2,3_2,7_2,1_1,6_2,5_2,4_2,2_2,5_2,2_2,1_1,6_2,3_2,8_2,7_2,4_1
38,4,0.5,6,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_4,4_3,5_3,6_3,7_5,8_4,8_5,2_3,1_1,5_4,3_5,6_4,7_5,4_4,4_4,6_2,2_2,7_3,5_6,3_3,1_1,8_5
39,4,0.5,7,F,non-titrated,Boni et al. (unpublished data),1_3,2_5,3_5,4_4,5_5,6_5,7_4,8_5,4_4,8_4,5_5,2_6,6_4,7_6,1_6,4_5,8_5,6_5,1_5,2_5,3_5,4_6_,7_6,5_6
40,4,3,8,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_5,7_5,8_4,3_3,8_5,5_5,7_4,1_1,6_5,2_2,4_4,8_4,6_5,1_1,7_4,5_4,4_4,3_3,2_2
41,4,0.5,6,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_2,4_3,5_3,6_3,7_3,8_3,5_3,7_3,3_2,4_3,6_2,8_3,2_2,1_1,2_2,5_3,3_3,8_3,6_3,4_3,1_1,7_3
42,4,2,8,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,2_2,5_5,8_9,3_3,1_1,6_7,4_4,7_7,6_6,3_3,7_7,8_8,4_4,1_1,2_2,5_8
43,4,8,8,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_5,5_5,6_4,7_5,8_4,1_1,7_5,4_4,2_2,3_3,5_6,8_5,6_5,8_5,6_7,1_1,2_2,4_4,5_5,3_3,7_5
44,4,7,7,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_4,4_4,5_3,6_3,7_4,8_5,3_3,4_4,7_4,8_3,2_4,1_3,6_2,5_4,7_3,1_4,3_3,6_4,8_3,5_3,2_3,4_4
45,4,5,5,M,non-titrated,Boni et al. (unpublished data),1_2,2_5,3_5,4_5,5_4,6_5,7_5,8_4,3_4,2_6,1_1,6_4,8_4,5_3,7_4,4_4,2_3,6_4,4_6,3_5,1_5,5_6,7_5,8_5
46,4,8,8,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,6_6,1_1,4_4,7_7,8_7,3_3,2_2,5_5,5_5,6_6,7_8,1_1,4_4,3_3,2_2,8_8
47,4,8,8,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_9,8_9,5_6,4_4,6_6,3_3,7_7,1_1,2_2,3_3,2_2,4_4,7_6,6_7,8_8,1_1,5_5
48,4,5,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,6_7,5_5,8_8,4_4,7_7,2_2,1_1,3_3,6_6,2_2,1_1,4_4,8_8,3_3,7_6,5_5
49,4,7,7,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_7,7_7,8_8,2_2,3_3,4_4,1_1,5_5,6_6,8_8,7_7,5_5,1_1,7_7,3_3,2_2,8_8,6_6,4_4
50,4,8,8,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,3_3,6_6,8_8,4_4,2_2,7_7,1_1,5_5,4_4,7_7,1_1,5_5,8_8,3_3,6_6,2_2
52,5,4,4,F,non-titrated,Boni et al. (unpublished data),1_4,2_7,3_5,4_6,5_6,6_6,7_6,8_6,7_5,1_4,4_5,2_5,5_5,3_7,8_6,6_7,6_7,2_6,7_5,3_6,4_6,1_6,5_4,8_6
53,5,6,6,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_4,4_6,5_5,6_5,7_6,8_6,4_6,1_1,5_4,2_2,3_4,8_6,7_6,6_7,5_5,1_1,4_4,2_2,8_5,7_6,3_6,6_6
55,5,0,6,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_5,5_4,6_5,7_6,8_8,8_10,3_3,5_6,7_7,1_1,4_6,2_2,6_5,3_3,4_4,5_5,2_2,6_4,7_4,8_5,1_1
56,5,2,6,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,8_8,6_6,5_5,7_7,1_1,2_1,4_4,3_3,8_8,6_6,7_7,4_4,5_5,1_1,2_2,3_3
57,5,0.5,6,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_9,6_6,8_8,3_3,2_2,7_7,4_4,5_5,1_1,4_4,7_7,5_5,1_1,8_8,2_2,6_6,3_3
58,5,0,5,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_4,6_5,7_4,8_5,2_2,8_5,7_5,3_4,5_6,6_5,1_1,4_6,8_5,6_5,4_5,5_5,3_6,2_2,7_6,1_1
59,6,1,8,F,non-titrated,Boni et al. (unpublished data),1_1,2_1,3_1,4_1,5_1,6_1,7_1,8_1,8_1,7_1,2_1,3_1,6_1,1_1,4_1,5_1,8_1,6_1,7_1,3_1,2_1,4_1,5_1,1_1
60,6,0,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_4,6_4,7_5,8_5,8_8,4_4,5_6,6_5,3_3,2_2,7_6,1_1,5_3,4_4,2_2,7_8,3_3,8_9,1_1,6_5
61,6,0,5,M,non-titrated,Boni et al. (unpublished data),1_1,2_3,3_4,4_4,5_5,6_3,7_3,8_4,7_4,1_4,2_4,6_4,5_5,8_4,3_5,4_4,6_3,2_4,3_4,8_4,7_4,5_4,4_3,1_2
62,6,0.5,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_1,3_2,4_3,5_4,6_3_,7_3,8_3,7_2,5_3,3_3,1_1,4_4,2_2,8_5,6_5,1_1,6_4,5_4,4_4,3_3,7_4,8_4,2_2
63,6,0,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_2,4_4,5_5,6_5,7_5,8_5,8_4,3_3,5_4,1_1,4_4,6_5,7_5,2_2,8_5,1_1,3_3,4_4,6_5,2_2,5_5,7_5
64,6,4,8,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_6,6_7,7_6,8_6,6_6,7_5,4_4,5_4,1_1,3_3,2_2,8_6,3_3,4_4,1_1,8_5,7_6,2_2,6_5,5_4
65,6,0,4,M,non-titrated,Boni et al. (unpublished data),1_1,2_4,3_7,4_4,5_1,6_4,7_5,8_2,1_1,5_3,8_10,7_3,6_3,4_7,3_7,2_3,1_1,7_6,5_4,3_7,2_1,6_4,8_1,4_6
66,6,0,5,M,non-titrated,Boni et al. (unpublished data),1_3,2_3,3_4,4_4,5_4,6_3,7_6,8_4,5_4,1__4,6_5,4_5,7_5,8_4,3_6,2_8,7_3,4_4,2_5,5_3,1_5,3_5,8_5,6_6
67,6,0.5,8,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,8_8,4_4,1_1,5_5,3_3,2_2,6_6,7_7,4_4,1_1,8_8,6_6,2_2,3_3,7_7,5_5
69,6,3,8,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_5,7_6,8_5,2_2,1_1,8_4,5_6,6_4,4_3,7_5,3_3,6_5,5_5,2_2,8_8,7_5,4_4,1_1,3_3
70,6,1,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_4,6_4,7_6,8_9,2_2,5_5,7_10,6_4,4_4,8_10,3_3,1_1,3_3,7_10,6_5,8_10,5_5,2_2,1_1,4_4
71,6,2,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_5,7_3,8_4,7_8,2_2,1_1,3_3,5_5,8_5,4_4,6_6,8_6,7_6,6_3,1_1,3_3,4_4,5_4,2_2
73,6,1,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_10,7_8,8_9,3_3,2_2,6_9,1_1,8_10,7_9,4_4,5_5,1_1,2_2,5_5,7_10,6_9,8_10,3_3,4_4
74,6,0.5,6,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_4,6_4,7_4,8_5,6_5,2_2,4_4,7_4,1_1,3_3,5_4,8_4,1_1,7_4,3_3,8_4,6_4,2_2,5_4,4_5
75,6,1,8,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,8_7,6_7,1_1,2_2,5_4,3_3,4_4,7_4,1_1,6_5,5_4,7_5,2_2,8_5,3_3,4_4
76,6,3,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_5,7_6,8_6,1_1,5_4,4_4,8_6,3_3,7_5,6_5,2_2,5_5,6_6,2_2,7_6,4_4,3_3,1_1,8_6
77,6,2,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,4_4,1_1,2_2,6_5,7_6,8_7,5_5,3_3,8_6,2_2,4_4,3_3,1_1,6_5,5_5,7_6
81,7,2,8,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,3_3,2_2,1_1,5_5,8_8,6_7,4_4,7_7,8_8,1_1,4_4,7_7,5_5,2_2,6_6,3_3
82,7,3,8,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,1_1,6_6,2_2,5_5,4_4,7_7,3_3,8_8,4_4,8_8,7_7,1_1,6_6,3_3,2_2,5_5
83,7,0.5,6,M,non-titrated,Boni et al. (unpublished data),1_2,2_3,3_3,4_5,5_3,6_5,7_4,8_5,8_4,3_5,1_5,2_4,5_5,6_4,4_6,7_5,3_5,2_4,7_4,6_6,4_5,5_5,1_4,8_5
88,8,1,6,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_7,6_6,7_8,8_7,4_5,2_2,8_4,7_6,5_8,1_1,3_3,6_5,8_7,6_5,2_2,7_4,4_4,1_1,3_3,5_5
89,8,1,8,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_5,5_6,6_7,7_8,8_7,7_6,3_2,5_7,1_1,4_5,2_2,6_6,8_7,1_1,2_2,7_5,8_6,5_5,4_5,6_6,3_3
90,8,2,8,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,4_5,7_9,2_1,5_5,1_1,6_6,3_2,8_8,6_8,2_1,1_1,5_5,7_6,4_4,3_3,8_7
91,8,1,7,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_6,4_7,5_8,6_7,7_6,8_8,3_3,8_7,2_2,7_5,5_8,6_6,4_3,1_1,1_1,4_4,6_7,3_4,8_8,2_2,7_7,5_8
92,8,0,6,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_4,6_5,7_7,8_8,1_1,6_4,2_2,5_4,4_4,3_3,7_4,8_5,7_5,4_4,3_5,1_1,6_4,2_2,8_4,5_4
93,8,2,8,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_6,6_7,7_7,8_8,1_1,6_6,2_2,5_5,4_4,3_3,7_6,8_9,7_7,4_4,3_3,1_1,6_7,2_2,8_9,5_5
94,8,0,8,F,non-titrated,Boni et al. (unpublished data),1_2,2_5,3_6,4_7,5_5,6_4,7_5,8_5,6_7,5_6,2_6,1_3,4_7,7_8,8_6,3_7,8_7,3_6,2_5,5_6,4_6,7_6,1_2,6_8
95,8,0.5,6,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_6,6_6,7_8,8_4,5_6,7_7,8_8,6_8,1_1,3_3,2_2,4_6,6_8,7_9,8_7,3_3,2_2,1_1,5_7,4_7
96,8,0,6,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_5,5_5,6_8,7_4,8_7,7_4,2_2,1_1,4_4,5_4,3_2,8_4,6_5,7_9,2_2,3_3,5_3,8_5,1_1,6_4,4_4
97,8,0.5,7,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_3,5_3,6_6,7_6,8_5,7_5,5_4,3_3,4_3,6_4,1_1,2_2,8_5,7_3,3_2,4_3,1_1,5_2,6_3,8_4,2_3
98,8,0,6,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_3,5_3,6_3,7_3,8_4,2_2,6_3,3_4,5_2,7_3,4_2,8_2,1_1,7_3,2_3,1_1,3_2,5_3,8_3,6_3,4_2
99,8,0.5,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_5,3_6,1_1,6_2,2_3,5_1,7_4,4_4,8_6,6_7,2_1,7_4,1_1,5_2,8_4,4_5,3_6
100,8,0,5,F,non-titrated,Boni et al. (unpublished data),1_3,2_3,3_4,4_5,5_3,6_3,7_4,8_7,7_5,6_3,5_4,4_3,2_2,8_3,3_4,1_1,3_3,8_4,6_3,4_4,7_4,1_1,5_3,2_3
101,8,0.5,6,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_4,6_4,7_4,8_4,7_5,3_5,4_5,2_5,1_1,8_5,6_7,5_7,2_2,8_4,4_4,3_5,7_7,1_1,6_5,5_6
102,8,0,5,F,non-titrated,Boni et al. (unpublished data),1_1,2_3,3_2,4_3,5_3,6_2,7_2,8_3,6_3,7_3,1_1,5_3,2_3,8_5,4_3,3_3,8_3,7_3,5_3,3_3,1_1,6_2,4_2,2_3
103,8,0,5,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_3,6_4,7_3,8_4,1_1,8_4,2_2,3_3,6_4,4_3,5_4,7_5,8_4,2_2,1_1,4_3,5_3,3_3,7_4,6_5
104,8,0,5,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_6,5_6,6_7,7_7,8_7,2_4,4_3,3_3,5_3,8_3,1_3,7_4,6_4,3_4,2_4,6_7,5_4,8_5,7_5,4_5,1_4
105,8,0,4,M,non-titrated,Boni et al. (unpublished data),1_3,2_3,3_5,4_4,5_5,6_6,7_6,8_6,2_7,4_6,7_5,6_5,3_7,5_5,8_5,1_5,7_4,8_5,1_5,4_6,3_6,6_5,2_5,5_5
106,8,0,4,F,non-titrated,Boni et al. (unpublished data),1_4,2_8,3_5,4_6,5_5,6_6,7_6,8_7,2_7,4_9,6_7,7_6,3_6,8_7,5_7,1_8,5_6,6_8,7_8,8_8,4_7,2_6,1_8,3_7
107,8,1,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_5,7_7,8_7,8_8,6_5,1_1,7_5,2_2,4_5,5_5,3_3,7_5,2_2,1_1,8_5,3_3,5_5,6_5,4_7
108,8,1,6,F,non-titrated,Boni et al. (unpublished data),1_4,2_6,3_5,4_4,5_4,6_4,7_5,8_6,4_4,6_6,8_4,7_5,5_4,1_6,3_3,2_7,1_5,5_4,2_5,6_6,7_5,8_7,4_6,3_6
109,8,1,6,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_5,7_7,8_8,7_7,6_5,1_1,3_3,5_5,2_2,4_4,8_8,5_4,3_3,4_4,8_8,7_7,6_6,2_2,1_1
110,8,1,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_3,5_5,6_5,7_6,8_7,3_3,5_5,7_7,2_2,6_5,8_7,4_4,1_1,7_5,6_5,8_7,1_1,5_5,3_3,4_4,2_2
111,8,1,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_8,8_6,3_3,5_5,1_1,4_4,6_4,2_2,8_4,7_4,3_5,7_5,5_5,8_6,1_1,4_3,2_2,6_6
112,8,7,11,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_8,8_8,7_7,8_8,3_3,4_4,6_6,1_1,5_5,2_2,1_1,5_5,8_7,7_7,6_7,2_2,3_3,4_4
127,9,1,6,F,non-titrated,Boni et al. (unpublished data),1_6,2_3,3_4,4_4,5_5,6_6,7_6,8_5,7_5,3_5,8_5,2_2,6_3,5_3,1_2,4_2,8_5,6_6,3_5,4_5,2_4,1_4,7_5,5_5
128,9,4,8,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_2,4_4,5_5,6_6,7_8,8_8,2_2,6_6,5_5,8_8,7_8,3_3,4_4,1_1,2_2,6_6,5_5,1_1,7_7,4_4,8_8,3_3
129,9,0,4,M,non-titrated,Boni et al. (unpublished data),1_1,2_1,3_2,4_1,5_1,6_1,7_1,8_1,4_1,5_1,7_1,6_1,2_1,3_1,1_1,8_1,5_1,6_1,3_1,7_1,2_1,1_1,8_1,4_1
130,9,0.5,5,M,non-titrated,Boni et al. (unpublished data),1_1,2_3,3_2,4_3,5_2,6_2,7_3,8_3,1_1,2_3,4_4,8_2,7_3,6_3,3_3,5_2,5_3,6_4,4_2,7_3,8_2,2_3,3_4,1_1
131,9,0.5,6,F,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_1,4_2,5_3,6_1,7_2,8_2,5_2,6_3,2_2,1_3,7_3,8_2,3_3,4_2,4_2,8_2,1_3,3_3,2_2,6_3,5_2,7_2